Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 The Adventures of Robin Hood , Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains,52886,Action, Adventure, Romance, $3.98M,PG
 Ghost in the Shell , Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera,148745,Animation, Action, Crime, $0.52M,UA
 The Raid 2 , Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara,127308,Action, Crime, Thriller, $2.63M,A
 The Wild Bunch , William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien,87528,Action, Adventure, Drama, $12.06M,A
 Hero , Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang,184565,Action, Adventure, Drama, $53.71M,UA
 Letters from Iwo Jima , Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase,166427,Action, Adventure, Drama, $13.76M,UA
 A Taxi Driver , Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol,27536,Action, Drama, History, $1.53M,UA
 Baby , Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu,58857,Action, Crime, Thriller,N/A,UA
 Airlift , Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi,57880,Action, Drama, History,N/A,UA
 Vishwaroopam , Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose,40565,Action, Thriller,N/A,N/A,UA
 Everything Everywhere All at Once , Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan,453184,Action, Adventure, Comedy, $72.86M,A
 The Batman , Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell,702644,Action, Crime, Drama, $369.35M,UA
 The Gentlemen , Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong,361702,Action, Comedy, Crime, $36.47M,A
 All Quiet on the Western Front , Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus,207737,Action, Drama, War,N/A,A
 RRR , N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt,151105,Action, Drama,N/A, $14.50M,UA
 Drive , Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks,665821,Action, Drama,N/A, $35.06M,A
 Ghostbusters , Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,426354,Action, Comedy, Fantasy, $238.63M,UA
 Dunkirk , Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy,683740,Action, Drama, History, $188.37M,UA
 Hot Fuzz , Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy,517847,Action, Comedy, Mystery, $23.64M,A
 Rogue One: A Star Wars Story , Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,658797,Action, Adventure, Sci-Fi, $532.18M,UA
 Apocalypto , Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood,320485,Action, Adventure, Drama, $50.87M,A
 Predator , Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo,435143,Action, Adventure, Horror, $59.74M,A
 Captain America: Civil War , Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,813326,Action, Sci-Fi,N/A, $408.08M,UA
 Star Wars: Episode VII - The Force Awakens , Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson,948306,Action, Adventure, Sci-Fi, $936.66M,U
 Skyfall , Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench,710494,Action, Adventure, Thriller, $304.36M,UA
