Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
753, The Running Man , Paul Michael Glaser ,N/A,N/A,N/A,N/A,N/A,101 min,-1987,6.6,45
754, Divergent , Neil Burger ,N/A,N/A,N/A,N/A,N/A,139 min,-2014,6.6,48
755, Resident Evil , Paul W.S. Anderson ,N/A,N/A,N/A,N/A,N/A,100 min,-2002,6.6,33
756, X-Men: The Last Stand , Brett Ratner ,N/A,N/A,N/A,N/A,N/A,104 min,-2006,6.6,58
757, Pirates of the Caribbean: On Stranger Tides , Rob Marshall ,N/A,N/A,N/A,N/A,N/A,136 min,-2011,6.6,45
758, The Incredible Hulk , Louis Leterrier ,N/A,N/A,N/A,N/A,N/A,112 min,-2008,6.6,61
759, Jason Bourne , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,123 min,(I) (2016),6.6,58
760, John Carter , Andrew Stanton ,N/A,N/A,N/A,N/A,N/A,132 min,-2012,6.6,51
761, Jungle Cruise , Jaume Collet-Serra ,N/A,N/A,N/A,N/A,N/A,127 min,-2021,6.6,50
762, Ender's Game , Gavin Hood ,N/A,N/A,N/A,N/A,N/A,114 min,-2013,6.6,51
763, The Old Guard , Gina Prince-Bythewood ,N/A,N/A,N/A,N/A,N/A,125 min,-2020,6.6,70
764, Quantum of Solace , Marc Forster ,N/A,N/A,N/A,N/A,N/A,106 min,-2008,6.6,58
765, Anna , Luc Besson ,N/A,N/A,N/A,N/A,N/A,118 min,(II) (2019),6.6,40
766, Enola Holmes , Harry Bradbeer ,N/A,N/A,N/A,N/A,N/A,123 min,-2020,6.6,68
767, The Other Guys , Adam McKay ,N/A,N/A,N/A,N/A,N/A,107 min,-2010,6.6,64
768, Run All Night , Jaume Collet-Serra ,N/A,N/A,N/A,N/A,N/A,114 min,-2015,6.6,59
769, The Hunger Games: Mockingjay - Part 1 , Francis Lawrence ,N/A,N/A,N/A,N/A,N/A,123 min,-2014,6.6,64
770, Elysium , Neill Blomkamp ,N/A,N/A,N/A,N/A,N/A,109 min,(I) (2013),6.6,61
771, Austin Powers: The Spy Who Shagged Me , Jay Roach ,N/A,N/A,N/A,N/A,N/A,95 min,-1999,6.6,59
772, Smokin' Aces , Joe Carnahan ,N/A,N/A,N/A,N/A,N/A,108 min,-2006,6.6,45
773, The Chronicles of Riddick , David Twohy ,N/A,N/A,N/A,N/A,N/A,119 min,-2004,6.6,38
774, The Harder They Fall , Jeymes Samuel ,N/A,N/A,N/A,N/A,N/A,139 min,-2021,6.6,68
775, Robin Hood , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,140 min,-2010,6.6,53
776, Hunter Killer , Donovan Marsh ,N/A,N/A,N/A,N/A,N/A,121 min,-2018,6.6,43
777, The Rundown , Peter Berg ,N/A,N/A,N/A,N/A,N/A,104 min,-2003,6.6,59
778, Black Rain , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,125 min,-1989,6.6,56
779, 30 Days of Night , David Slade ,N/A,N/A,N/A,N/A,N/A,113 min,-2007,6.6,53
780, Prince of Persia: The Sands of Time , Mike Newell ,N/A,N/A,N/A,N/A,N/A,116 min,-2010,6.6,50
781, The Final Countdown , Don Taylor ,N/A,N/A,N/A,N/A,N/A,103 min,-1980,6.6,51
782, The Heat , Paul Feig ,N/A,N/A,N/A,N/A,N/A,117 min,(I) (2013),6.6,60
783, The Bourne Legacy , Tony Gilroy ,N/A,N/A,N/A,N/A,N/A,135 min,-2012,6.6,61
784, Licence to Kill , John Glen ,N/A,N/A,N/A,N/A,N/A,133 min,-1989,6.6,58
785, Man on a Ledge , Asger Leth ,N/A,N/A,N/A,N/A,N/A,102 min,-2012,6.6,40
786, Ghostbusters II , Ivan Reitman ,N/A,N/A,N/A,N/A,N/A,108 min,-1989,6.6,56
787, The Lego Movie 2: The Second Part , Mike Mitchell ,N/A,N/A,N/A,N/A,N/A,107 min,-2019,6.6,65
788, Rush Hour 2 , Brett Ratner ,N/A,N/A,N/A,N/A,N/A,90 min,-2001,6.6,48
789, Adrift , Baltasar Kormákur ,N/A,N/A,N/A,N/A,N/A,96 min,(I) (2018),6.6,56
790, Machete , Ethan Maniquis, Robert Rodriguez ,N/A,N/A,N/A,N/A,105 min,-2010,6.6,60
791, The 13th Warrior , John McTiernan, Michael Crichton ,N/A,N/A,N/A,N/A,102 min,-1999,6.6,42
792, The Informer , Andrea Di Stefano ,N/A,N/A,N/A,N/A,N/A,113 min,-2019,6.6,61
793, Overlord , Julius Avery ,N/A,N/A,N/A,N/A,N/A,110 min,-2018,6.6,60
794, The Wave , Roar Uthaug ,N/A,N/A,N/A,N/A,N/A,105 min,-2015,6.6,68
795, Bad Boys II , Michael Bay ,N/A,N/A,N/A,N/A,N/A,147 min,-2003,6.6,38
796, Crocodile Dundee , Peter Faiman ,N/A,N/A,N/A,N/A,N/A,97 min,-1986,6.6,62
797, Epic , Chris Wedge ,N/A,N/A,N/A,N/A,N/A,102 min,-2013,6.6,52
798, Tears of the Sun , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,121 min,-2003,6.6,48
799, Joy Ride , John Dahl ,N/A,N/A,N/A,N/A,N/A,97 min,-2001,6.6,75
800, Flushed Away , David Bowers, Sam Fell ,N/A,N/A,N/A,N/A,85 min,-2006,6.6,74
801, The Recruit , Roger Donaldson ,N/A,N/A,N/A,N/A,N/A,115 min,-2003,6.6,56
802, Titan A, Don Bluth, Gary Goldman ,N/A,N/A,N/A,N/A,94 min,-2000,6.6,48
803, Penguins of Madagascar , Eric Darnell, Simon J. Smith ,N/A,N/A,N/A,N/A,92 min,-2014,6.6,53
804, Eagle Eye , D.J. Caruso ,N/A,N/A,N/A,N/A,N/A,118 min,-2008,6.6,43
805, Hot Shots! Part Deux , Jim Abrahams ,N/A,N/A,N/A,N/A,N/A,86 min,-1993,6.6,64
806, Edge of Darkness , Martin Campbell ,N/A,N/A,N/A,N/A,N/A,117 min,-2010,6.6,55
807, Rollerball , Norman Jewison ,N/A,N/A,N/A,N/A,N/A,125 min,-1975,6.6,56
808, RED 2 , Dean Parisot ,N/A,N/A,N/A,N/A,N/A,116 min,-2013,6.6,47
809, Outbreak , Wolfgang Petersen ,N/A,N/A,N/A,N/A,N/A,127 min,-1995,6.6,64
810, Star Trek: Generations , David Carson ,N/A,N/A,N/A,N/A,N/A,118 min,-1994,6.6,55
811, Lethal Weapon 4 , Richard Donner ,N/A,N/A,N/A,N/A,N/A,127 min,-1998,6.6,37
812, Star Trek III: The Search for Spock , Leonard Nimoy ,N/A,N/A,N/A,N/A,N/A,105 min,-1984,6.6,56
813, U-571 , Jonathan Mostow ,N/A,N/A,N/A,N/A,N/A,116 min,-2000,6.6,62
814, Sudden Impact , Clint Eastwood ,N/A,N/A,N/A,N/A,N/A,117 min,-1983,6.6,52
815, Shanghai Noon , Tom Dey ,N/A,N/A,N/A,N/A,N/A,110 min,-2000,6.6,77
816, Courage Under Fire , Edward Zwick ,N/A,N/A,N/A,N/A,N/A,116 min,-1996,6.6,77
817, New Jack City , Mario Van Peebles ,N/A,N/A,N/A,N/A,N/A,97 min,-1991,6.6,61
818, 21 Bridges , Brian Kirk ,N/A,N/A,N/A,N/A,N/A,99 min,-2019,6.6,51
819, The Aeronauts , Tom Harper ,N/A,N/A,N/A,N/A,N/A,100 min,-2019,6.6,60
820, Shoot 'Em Up , Michael Davis ,N/A,N/A,N/A,N/A,N/A,86 min,-2007,6.6,49
821, The Girl with All the Gifts , Colm McCarthy ,N/A,N/A,N/A,N/A,N/A,111 min,-2016,6.6,67
822, Alpha , Albert Hughes ,N/A,N/A,N/A,N/A,N/A,96 min,(II) (2018),6.6,63
823, Outland , Peter Hyams ,N/A,N/A,N/A,N/A,N/A,109 min,-1981,6.6,48
824, Kiss of the Dragon , Chris Nahon ,N/A,N/A,N/A,N/A,N/A,98 min,-2001,6.6,58
825, 16 Blocks , Richard Donner ,N/A,N/A,N/A,N/A,N/A,102 min,-2006,6.6,63
826, Vantage Point , Pete Travis ,N/A,N/A,N/A,N/A,N/A,90 min,-2008,6.6,40
827, The Way of the Gun , Christopher McQuarrie ,N/A,N/A,N/A,N/A,N/A,119 min,-2000,6.6,49
828, The Art of Self-Defense , Riley Stearns ,N/A,N/A,N/A,N/A,N/A,104 min,-2019,6.6,65
829, Wasabi , Gérard Krawczyk ,N/A,N/A,N/A,N/A,N/A,94 min,-2001,6.6,53
830, 22 Bullets , Richard Berry ,N/A,N/A,N/A,N/A,N/A,117 min,-2010,6.6,N/A
831, Seraphim Falls , David Von Ancken ,N/A,N/A,N/A,N/A,N/A,115 min,-2006,6.6,62
832, Raees , Rahul Dholakia ,N/A,N/A,N/A,N/A,N/A,143 min,-2017,6.6,N/A
833, Wanted , Prabhu Deva ,N/A,N/A,N/A,N/A,N/A,147 min,(I) (2009),6.6,N/A
834, Plane , Jean-François Richet ,N/A,N/A,N/A,N/A,N/A,107 min,-2023,6.5,62
835, Fast & Furious , Justin Lin ,N/A,N/A,N/A,N/A,N/A,107 min,-2009,6.5,46
836, The Gray Man , Anthony Russo, Joe Russo ,N/A,N/A,N/A,N/A,122 min,-2022,6.5,49
837, Fast & Furious Presents: Hobbs & Shaw , David Leitch ,N/A,N/A,N/A,N/A,N/A,137 min,-2019,6.5,60
838, Star Wars: Episode IX - The Rise of Skywalker , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,141 min,-2019,6.5,53
839, Star Wars: Episode I - The Phantom Menace , George Lucas ,N/A,N/A,N/A,N/A,N/A,136 min,-1999,6.5,51
840, Homefront , Gary Fleder ,N/A,N/A,N/A,N/A,N/A,100 min,(I) (2013),6.5,40
841, Pirates of the Caribbean: Dead Men Tell No Tales , Joachim Rønning, Espen Sandberg ,N/A,N/A,N/A,N/A,129 min,-2017,6.5,39
842, Flash Gordon , Mike Hodges ,N/A,N/A,N/A,N/A,N/A,111 min,-1980,6.5,58
843, Kick-Ass 2 , Jeff Wadlow ,N/A,N/A,N/A,N/A,N/A,103 min,-2013,6.5,41
844, Sonic the Hedgehog 2 , Jeff Fowler ,N/A,N/A,N/A,N/A,N/A,122 min,-2022,6.5,47
845, The Tomorrow War , Chris McKay ,N/A,N/A,N/A,N/A,N/A,138 min,-2021,6.5,45
846, Gone in 60 Seconds , Dominic Sena ,N/A,N/A,N/A,N/A,N/A,118 min,-2000,6.5,35
847, The Lost World: Jurassic Park , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,129 min,-1997,6.5,59
848, Sonic the Hedgehog , Jeff Fowler ,N/A,N/A,N/A,N/A,N/A,99 min,-2020,6.5,47
849, The Hunt , Craig Zobel ,N/A,N/A,N/A,N/A,N/A,90 min,(II) (2020),6.5,50
850, The Perfect Storm , Wolfgang Petersen ,N/A,N/A,N/A,N/A,N/A,130 min,-2000,6.5,59
851, Tag , Jeff Tomsic ,N/A,N/A,N/A,N/A,N/A,100 min,(I) (2018),6.5,56
852, Triple Frontier , J.C. Chandor ,N/A,N/A,N/A,N/A,N/A,125 min,-2019,6.5,61
853, Pokémon: Detective Pikachu , Rob Letterman ,N/A,N/A,N/A,N/A,N/A,104 min,-2019,6.5,53
854, War of the Worlds , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,116 min,-2005,6.5,73
855, The Hunger Games: Mockingjay - Part 2 , Francis Lawrence ,N/A,N/A,N/A,N/A,N/A,137 min,-2015,6.5,65
856, Olympus Has Fallen , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,119 min,-2013,6.5,41
857, X-Men Origins: Wolverine , Gavin Hood ,N/A,N/A,N/A,N/A,N/A,107 min,-2009,6.5,40
858, Peppermint , Pierre Morel ,N/A,N/A,N/A,N/A,N/A,101 min,-2018,6.5,29
859, Mr, Doug Liman ,N/A,N/A,N/A,N/A,N/A,120 min,-2005,6.5,55
860, Mandy , Panos Cosmatos ,N/A,N/A,N/A,N/A,N/A,121 min,(I) (2018),6.5,82
861, Under Siege , Andrew Davis ,N/A,N/A,N/A,N/A,N/A,103 min,-1992,6.5,58
862, 12 Strong , Nicolai Fuglsig ,N/A,N/A,N/A,N/A,N/A,130 min,-2018,6.5,54
863, Cliffhanger , Renny Harlin ,N/A,N/A,N/A,N/A,N/A,113 min,-1993,6.5,60
864, U, Stuart Baird ,N/A,N/A,N/A,N/A,N/A,131 min,-1998,6.5,47
865, Terminator Salvation , McG ,N/A,N/A,N/A,N/A,N/A,115 min,-2009,6.5,49
866, The Man in the Iron Mask , Randall Wallace ,N/A,N/A,N/A,N/A,N/A,132 min,(I) (1998),6.5,48
867, The Mechanic , Simon West ,N/A,N/A,N/A,N/A,N/A,93 min,-2011,6.5,49
868, Nerve , Henry Joost, Ariel Schulman ,N/A,N/A,N/A,N/A,96 min,(I) (2016),6.5,58
869, Sin City: A Dame to Kill For , Frank Miller, Robert Rodriguez ,N/A,N/A,N/A,N/A,102 min,-2014,6.5,46
870, The Chronicles of Narnia: Prince Caspian , Andrew Adamson ,N/A,N/A,N/A,N/A,N/A,150 min,-2008,6.5,62
871, Bad Boys for Life , Adil El Arbi, Bilall Fallah ,N/A,N/A,N/A,N/A,124 min,-2020,6.5,59
872, Rambo: First Blood Part II , George P. Cosmatos ,N/A,N/A,N/A,N/A,N/A,96 min,-1985,6.5,47
873, Air Force One , Wolfgang Petersen ,N/A,N/A,N/A,N/A,N/A,124 min,-1997,6.5,61
874, Tomorrow Never Dies , Roger Spottiswoode ,N/A,N/A,N/A,N/A,N/A,119 min,-1997,6.5,52
875, Octopussy , John Glen ,N/A,N/A,N/A,N/A,N/A,131 min,-1983,6.5,63
876, The Rocketeer , Joe Johnston ,N/A,N/A,N/A,N/A,N/A,108 min,-1991,6.5,61
877, The Interview , Evan Goldberg, Seth Rogen ,N/A,N/A,N/A,N/A,112 min,(II) (2014),6.5,52
878, Swordfish , Dominic Sena ,N/A,N/A,N/A,N/A,N/A,99 min,-2001,6.5,32
879, Beverly Hills Cop II , Tony Scott ,N/A,N/A,N/A,N/A,N/A,100 min,-1987,6.5,48
880, The Quick and the Dead , Sam Raimi ,N/A,N/A,N/A,N/A,N/A,108 min,-1995,6.5,49
881, Diamonds Are Forever , Guy Hamilton ,N/A,N/A,N/A,N/A,N/A,120 min,-1971,6.5,59
882, Never Back Down , Jeff Wadlow ,N/A,N/A,N/A,N/A,N/A,113 min,-2008,6.5,39
883, Get Smart , Peter Segal ,N/A,N/A,N/A,N/A,N/A,110 min,-2008,6.5,54
884, The Forbidden Kingdom , Rob Minkoff ,N/A,N/A,N/A,N/A,N/A,104 min,-2008,6.5,57
885, Executive Decision , Stuart Baird ,N/A,N/A,N/A,N/A,N/A,133 min,-1996,6.5,62
886, The Spiderwick Chronicles , Mark Waters ,N/A,N/A,N/A,N/A,N/A,96 min,-2008,6.5,62
887, Young Guns II , Geoff Murphy ,N/A,N/A,N/A,N/A,N/A,104 min,-1990,6.5,47
888, National Treasure: Book of Secrets , Jon Turteltaub ,N/A,N/A,N/A,N/A,N/A,124 min,-2007,6.5,48
889, Safe , Boaz Yakin ,N/A,N/A,N/A,N/A,N/A,94 min,(I) (2012),6.5,55
890, Self/less , Tarsem Singh ,N/A,N/A,N/A,N/A,N/A,117 min,-2015,6.5,34
891, A Walk Among the Tombstones , Scott Frank ,N/A,N/A,N/A,N/A,N/A,114 min,-2014,6.5,57
892, Space Cowboys , Clint Eastwood ,N/A,N/A,N/A,N/A,N/A,130 min,-2000,6.5,73
893, Underworld: Rise of the Lycans , Patrick Tatopoulos ,N/A,N/A,N/A,N/A,N/A,92 min,-2009,6.5,44
894, The International , Tom Tykwer ,N/A,N/A,N/A,N/A,N/A,118 min,(I) (2009),6.5,52
895, Cellular , David R. Ellis ,N/A,N/A,N/A,N/A,N/A,94 min,-2004,6.5,60
896, The Four Feathers , Shekhar Kapur ,N/A,N/A,N/A,N/A,N/A,132 min,-2002,6.5,49
897, Batman: The Movie , Leslie H. Martinson ,N/A,N/A,N/A,N/A,N/A,105 min,-1966,6.5,71
898, Ladder 49 , Jay Russell ,N/A,N/A,N/A,N/A,N/A,115 min,-2004,6.5,47
899, Premium Rush , David Koepp ,N/A,N/A,N/A,N/A,N/A,91 min,-2012,6.5,66
900, Hostage , Florent-Emilio Siri ,N/A,N/A,N/A,N/A,N/A,113 min,-2005,6.5,44
901, Heist , David Mamet ,N/A,N/A,N/A,N/A,N/A,109 min,-2001,6.5,66
902, The Grandmaster , Kar-Wai Wong ,N/A,N/A,N/A,N/A,N/A,130 min,-2013,6.5,73
903, Space Sweepers , Sung-hee Jo ,N/A,N/A,N/A,N/A,N/A,136 min,-2021,6.5,64
904, Flyboys , Tony Bill ,N/A,N/A,N/A,N/A,N/A,140 min,-2006,6.5,47
905, Spartan , David Mamet ,N/A,N/A,N/A,N/A,N/A,106 min,-2004,6.5,60
906, War , Siddharth Anand ,N/A,N/A,N/A,N/A,N/A,154 min,-2019,6.5,N/A
907, Dhoom 2 , Sanjay Gadhvi ,N/A,N/A,N/A,N/A,N/A,152 min,-2006,6.5,N/A
908, Taxi 2 , Gérard Krawczyk ,N/A,N/A,N/A,N/A,N/A,88 min,-2000,6.5,N/A
909, District 13: Ultimatum , Patrick Alessandrin ,N/A,N/A,N/A,N/A,N/A,101 min,-2009,6.5,64
910, Conquest 1453 , Faruk Aksoy ,N/A,N/A,N/A,N/A,N/A,162 min,-2012,6.5,N/A
911, The Expendables , Sylvester Stallone ,N/A,N/A,N/A,N/A,N/A,103 min,-2010,6.4,45
912, Valerian and the City of a Thousand Planets , Luc Besson ,N/A,N/A,N/A,N/A,N/A,136 min,-2017,6.4,51
913, The Day After Tomorrow , Roland Emmerich ,N/A,N/A,N/A,N/A,N/A,124 min,-2004,6.4,47
914, Last Action Hero , John McTiernan ,N/A,N/A,N/A,N/A,N/A,130 min,-1993,6.4,44
915, Twister , Jan de Bont ,N/A,N/A,N/A,N/A,N/A,113 min,(I) (1996),6.4,68
916, Escape Room , Adam Robitel ,N/A,N/A,N/A,N/A,N/A,99 min,(I) (2019),6.4,48
917, Salt , Phillip Noyce ,N/A,N/A,N/A,N/A,N/A,100 min,-2010,6.4,65
918, Batman v Superman: Dawn of Justice , Zack Snyder ,N/A,N/A,N/A,N/A,N/A,151 min,-2016,6.4,44
919, Greenland , Ric Roman Waugh ,N/A,N/A,N/A,N/A,N/A,119 min,-2020,6.4,64
920, Lucy , Luc Besson ,N/A,N/A,N/A,N/A,N/A,89 min,(I) (2014),6.4,61
921, Angel Has Fallen , Ric Roman Waugh ,N/A,N/A,N/A,N/A,N/A,121 min,-2019,6.4,45
922, The Mummy Returns , Stephen Sommers ,N/A,N/A,N/A,N/A,N/A,130 min,-2001,6.4,48
923, Pain & Gain , Michael Bay ,N/A,N/A,N/A,N/A,N/A,129 min,-2013,6.4,45
924, The Vault , Jaume Balagueró ,N/A,N/A,N/A,N/A,N/A,118 min,-2021,6.4,50
925, Godzilla , Gareth Edwards ,N/A,N/A,N/A,N/A,N/A,123 min,-2014,6.4,62
926, Army of Thieves , Matthias Schweighöfer ,N/A,N/A,N/A,N/A,N/A,127 min,-2021,6.4,49
927, The Sum of All Fears , Phil Alden Robinson ,N/A,N/A,N/A,N/A,N/A,124 min,-2002,6.4,45
928, Riddick , David Twohy ,N/A,N/A,N/A,N/A,N/A,119 min,-2013,6.4,49
929, Tomorrowland , Brad Bird ,N/A,N/A,N/A,N/A,N/A,130 min,-2015,6.4,60
930, Alien³ , David Fincher ,N/A,N/A,N/A,N/A,N/A,114 min,-1992,6.4,59
931, Now You See Me 2 , Jon M. Chu ,N/A,N/A,N/A,N/A,N/A,129 min,-2016,6.4,46
932, Need for Speed , Scott Waugh ,N/A,N/A,N/A,N/A,N/A,132 min,-2014,6.4,39
933, The Punisher , Jonathan Hensleigh ,N/A,N/A,N/A,N/A,N/A,124 min,-2004,6.4,33
934, The Three Musketeers , Stephen Herek ,N/A,N/A,N/A,N/A,N/A,105 min,-1993,6.4,43
935, Predators , Nimród Antal ,N/A,N/A,N/A,N/A,N/A,107 min,-2010,6.4,51
936, Savages , Oliver Stone ,N/A,N/A,N/A,N/A,N/A,131 min,(I) (2012),6.4,59
937, Death Race , Paul W.S. Anderson ,N/A,N/A,N/A,N/A,N/A,105 min,-2008,6.4,43
938, Hancock , Peter Berg ,N/A,N/A,N/A,N/A,N/A,92 min,-2008,6.4,49
939, Revenge , Coralie Fargeat ,N/A,N/A,N/A,N/A,N/A,108 min,(II) (2017),6.4,81
940, Monsters vs, Rob Letterman, Conrad Vernon ,N/A,N/A,N/A,N/A,94 min,-2009,6.4,56
941, Colombiana , Olivier Megaton ,N/A,N/A,N/A,N/A,N/A,108 min,-2011,6.4,45
942, The Angry Birds Movie 2 , Thurop Van Orman, John Rice ,N/A,N/A,N/A,N/A,97 min,-2019,6.4,60
943, The World Is Not Enough , Michael Apted ,N/A,N/A,N/A,N/A,N/A,128 min,-1999,6.4,57
944, Darkman , Sam Raimi ,N/A,N/A,N/A,N/A,N/A,96 min,-1990,6.4,65
945, Act of Valor , Mike McCoy, Scott Waugh ,N/A,N/A,N/A,N/A,110 min,-2012,6.4,40
946, Rat Race , Jerry Zucker ,N/A,N/A,N/A,N/A,N/A,112 min,-2001,6.4,52
947, The Lone Ranger , Gore Verbinski ,N/A,N/A,N/A,N/A,N/A,150 min,-2013,6.4,37
948, DragonHeart , Rob Cohen ,N/A,N/A,N/A,N/A,N/A,103 min,-1996,6.4,49
949, Kickboxer , Mark DiSalle, David Worth ,N/A,N/A,N/A,N/A,97 min,-1989,6.4,33
950, Tango & Cash , Andrey Konchalovskiy, Albert Magnoli ,N/A,N/A,N/A,N/A,104 min,-1989,6.4,41
951, The Purge: Anarchy , James DeMonaco ,N/A,N/A,N/A,N/A,N/A,103 min,-2014,6.4,50
952, Black Death , Christopher Smith ,N/A,N/A,N/A,N/A,N/A,102 min,-2010,6.4,71
953, Let's Be Cops , Luke Greenfield ,N/A,N/A,N/A,N/A,N/A,104 min,-2014,6.4,30
954, The Taking of Pelham 123 , Tony Scott ,N/A,N/A,N/A,N/A,N/A,106 min,-2009,6.4,55
955, Star Trek: Nemesis , Stuart Baird ,N/A,N/A,N/A,N/A,N/A,116 min,-2002,6.4,51
956, Lock Up , John Flynn ,N/A,N/A,N/A,N/A,N/A,109 min,-1989,6.4,52
957, Behind Enemy Lines , John Moore ,N/A,N/A,N/A,N/A,N/A,106 min,-2001,6.4,49
958, Daybreakers , Michael Spierig, Peter Spierig ,N/A,N/A,N/A,N/A,98 min,-2009,6.4,57
959, Killer Elite , Gary McKendry ,N/A,N/A,N/A,N/A,N/A,116 min,-2011,6.4,44
960, Live by Night , Ben Affleck ,N/A,N/A,N/A,N/A,N/A,129 min,-2016,6.4,49
961, Kill List , Ben Wheatley ,N/A,N/A,N/A,N/A,N/A,95 min,-2011,6.4,67
962, The Jackal , Michael Caton-Jones ,N/A,N/A,N/A,N/A,N/A,124 min,-1997,6.4,36
963, Faster , George Tillman Jr. ,N/A,N/A,N/A,N/A,N/A,98 min,-2010,6.4,44
964, The Siege , Edward Zwick ,N/A,N/A,N/A,N/A,N/A,116 min,-1998,6.4,53
965, Blood Father , Jean-François Richet ,N/A,N/A,N/A,N/A,N/A,88 min,-2016,6.4,66
966, Shaft , Tim Story ,N/A,N/A,N/A,N/A,N/A,111 min,-2019,6.4,40
967, Star Trek: Insurrection , Jonathan Frakes ,N/A,N/A,N/A,N/A,N/A,103 min,-1998,6.4,64
968, Batman: The Killing Joke , Sam Liu ,N/A,N/A,N/A,N/A,N/A,76 min,-2016,6.4,N/A
969, Chaos , Tony Giglio ,N/A,N/A,N/A,N/A,N/A,106 min,(II) (2005),6.4,N/A
970, Last Man Standing , Walter Hill ,N/A,N/A,N/A,N/A,N/A,101 min,-1996,6.4,44
971, Here Comes the Boom , Frank Coraci ,N/A,N/A,N/A,N/A,N/A,105 min,-2012,6.4,40
972, Just Cause , Arne Glimcher ,N/A,N/A,N/A,N/A,N/A,102 min,-1995,6.4,48
973, Black and Blue , Deon Taylor ,N/A,N/A,N/A,N/A,N/A,108 min,(I) (2019),6.4,54
974, The Omega Man , Boris Sagal ,N/A,N/A,N/A,N/A,N/A,98 min,-1971,6.4,56
975, From Paris with Love , Pierre Morel ,N/A,N/A,N/A,N/A,N/A,92 min,-2010,6.4,42
976, Snitch , Ric Roman Waugh ,N/A,N/A,N/A,N/A,N/A,112 min,(I) (2013),6.4,51
977, Contraband , Baltasar Kormákur ,N/A,N/A,N/A,N/A,N/A,109 min,-2012,6.4,51
978, How I Live Now , Kevin Macdonald ,N/A,N/A,N/A,N/A,N/A,101 min,-2013,6.4,57
979, The Rover , David Michôd ,N/A,N/A,N/A,N/A,N/A,103 min,-2014,6.4,64
980, Basic , John McTiernan ,N/A,N/A,N/A,N/A,N/A,98 min,-2003,6.4,34
981, The Prophecy , Gregory Widen ,N/A,N/A,N/A,N/A,N/A,98 min,-1995,6.4,44
982, Final Fantasy: The Spirits Within , Hironobu Sakaguchi, Motonori Sakakibara ,N/A,N/A,N/A,N/A,106 min,-2001,6.4,49
983, Dead Man Down , Niels Arden Oplev ,N/A,N/A,N/A,N/A,N/A,118 min,-2013,6.4,39
984, Blood Work , Clint Eastwood ,N/A,N/A,N/A,N/A,N/A,110 min,-2002,6.4,64
985, Son of a Gun , Julius Avery ,N/A,N/A,N/A,N/A,N/A,108 min,-2014,6.4,49
986, Night Watch , Timur Bekmambetov ,N/A,N/A,N/A,N/A,N/A,114 min,-2004,6.4,58
987, Ned Kelly , Gregor Jordan ,N/A,N/A,N/A,N/A,N/A,110 min,-2003,6.4,56
988, Resident Evil: Degeneration , Makoto Kamiya ,N/A,N/A,N/A,N/A,N/A,98 min,-2008,6.4,N/A
989, Day Watch , Timur Bekmambetov ,N/A,N/A,N/A,N/A,N/A,132 min,-2006,6.4,59
990, Redirected , Emilis Velyvis ,N/A,N/A,N/A,N/A,N/A,99 min,-2014,6.4,N/A
991, Operation Fortune: Ruse de Guerre , Guy Ritchie ,N/A,N/A,N/A,N/A,N/A,114 min,-2023,6.3,51
992, Dune , David Lynch ,N/A,N/A,N/A,N/A,N/A,137 min,-1984,6.3,41
993, Spider-Man 3 , Sam Raimi ,N/A,N/A,N/A,N/A,N/A,139 min,-2007,6.3,59
994, Black Adam , Jaume Collet-Serra ,N/A,N/A,N/A,N/A,N/A,125 min,-2022,6.3,41
995, Uncharted , Ruben Fleischer ,N/A,N/A,N/A,N/A,N/A,116 min,-2022,6.3,45
996, Eternals , Chloé Zhao ,N/A,N/A,N/A,N/A,N/A,156 min,-2021,6.3,52
997, Knight and Day , James Mangold ,N/A,N/A,N/A,N/A,N/A,109 min,-2010,6.3,46
998, The King's Man , Matthew Vaughn ,N/A,N/A,N/A,N/A,N/A,131 min,-2021,6.3,44
999, The Last Stand , Jee-woon Kim ,N/A,N/A,N/A,N/A,N/A,107 min,-2013,6.3,54
1000, Red Notice , Rawson Marshall Thurber ,N/A,N/A,N/A,N/A,N/A,118 min,-2021,6.3,37
1001, The Angry Birds Movie , Clay Kaytis, Fergal Reilly ,N/A,N/A,N/A,N/A,97 min,-2016,6.3,43
1002, Run Hide Fight , Kyle Rankin ,N/A,N/A,N/A,N/A,N/A,109 min,-2020,6.3,13
1003, Tomb Raider , Roar Uthaug ,N/A,N/A,N/A,N/A,N/A,119 min,-2018,6.3,48
1004, Godzilla vs, Adam Wingard ,N/A,N/A,N/A,N/A,N/A,113 min,-2021,6.3,59
1005, Terminator Genisys , Alan Taylor ,N/A,N/A,N/A,N/A,N/A,126 min,-2015,6.3,38
1006, Ocean's Eight , Gary Ross ,N/A,N/A,N/A,N/A,N/A,110 min,-2018,6.3,61
