Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
101, Tae Guk Gi: The Brotherhood of War , Je-kyu Kang ,N/A,N/A,N/A,N/A,N/A,140 min,-2004,8,64
102, Andaz Apna Apna , Rajkumar Santoshi ,N/A,N/A,N/A,N/A,N/A,160 min,-1994,8,N/A
103, Karthikeya 2 , Chandoo Mondeti ,N/A,N/A,N/A,N/A,N/A,150 min,-2022,8,N/A
104, Arjun Reddy , Sandeep Reddy Vanga ,N/A,N/A,N/A,N/A,N/A,182 min,-2017,8,N/A
105, 1: Nenokkadine , Sukumar ,N/A,N/A,N/A,N/A,N/A,170 min,-2014,8,N/A
106, The Breath , Levent Semerci ,N/A,N/A,N/A,N/A,N/A,128 min,-2009,8,N/A
107, John Wick: Chapter 4 , Chad Stahelski ,N/A,N/A,N/A,N/A,N/A,169 min,-2023,7.9,78
108, Avatar , James Cameron ,N/A,N/A,N/A,N/A,N/A,162 min,-2009,7.9,83
109, X-Men: Days of Future Past , Bryan Singer ,N/A,N/A,N/A,N/A,N/A,132 min,-2014,7.9,75
110, Iron Man , Jon Favreau ,N/A,N/A,N/A,N/A,N/A,126 min,-2008,7.9,79
111, Edge of Tomorrow , Doug Liman ,N/A,N/A,N/A,N/A,N/A,113 min,-2014,7.9,71
112, Thor: Ragnarok , Taika Waititi ,N/A,N/A,N/A,N/A,N/A,130 min,-2017,7.9,74
113, Children of Men , Alfonso Cuarón ,N/A,N/A,N/A,N/A,N/A,109 min,-2006,7.9,84
114, Star Trek , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,127 min,-2009,7.9,82
115, The Bourne Identity , Doug Liman ,N/A,N/A,N/A,N/A,N/A,119 min,-2002,7.9,68
116, District 9 , Neill Blomkamp ,N/A,N/A,N/A,N/A,N/A,112 min,-2009,7.9,81
117, The Blues Brothers , John Landis ,N/A,N/A,N/A,N/A,N/A,133 min,-1980,7.9,60
118, A Fistful of Dollars , Sergio Leone ,N/A,N/A,N/A,N/A,N/A,99 min,-1964,7.9,65
119, Crouching Tiger Hidden Dragon , Ang Lee ,N/A,N/A,N/A,N/A,N/A,120 min,-2000,7.9,94
120, The Adventures of Robin Hood , Michael Curtiz, William Keighley ,N/A,N/A,N/A,N/A,102 min,-1938,7.9,97
121, Ghost in the Shell , Mamoru Oshii ,N/A,N/A,N/A,N/A,N/A,83 min,-1995,7.9,76
122, The Raid 2 , Gareth Evans ,N/A,N/A,N/A,N/A,N/A,150 min,-2014,7.9,71
123, The Wild Bunch , Sam Peckinpah ,N/A,N/A,N/A,N/A,N/A,135 min,-1969,7.9,98
124, Hero , Yimou Zhang ,N/A,N/A,N/A,N/A,N/A,120 min,-2002,7.9,85
125, Letters from Iwo Jima , Clint Eastwood ,N/A,N/A,N/A,N/A,N/A,141 min,-2006,7.9,89
126, A Taxi Driver , Hun Jang ,N/A,N/A,N/A,N/A,N/A,137 min,-2017,7.9,69
127, Baby , Neeraj Pandey ,N/A,N/A,N/A,N/A,N/A,159 min,(I) (2015),7.9,N/A
128, Airlift , Raja Menon ,N/A,N/A,N/A,N/A,N/A,130 min,-2016,7.9,N/A
129, Vishwaroopam , Kamal Haasan ,N/A,N/A,N/A,N/A,N/A,148 min,-2013,7.9,N/A
130, Everything Everywhere All at Once , Daniel Kwan, Daniel Scheinert ,N/A,N/A,N/A,N/A,139 min,-2022,7.8,81
131, The Batman , Matt Reeves ,N/A,N/A,N/A,N/A,N/A,176 min,-2022,7.8,72
132, The Gentlemen , Guy Ritchie ,N/A,N/A,N/A,N/A,N/A,113 min,-2019,7.8,51
133, All Quiet on the Western Front , Edward Berger ,N/A,N/A,N/A,N/A,N/A,148 min,-2022,7.8,76
134, RRR , S.S. Rajamouli ,N/A,N/A,N/A,N/A,N/A,187 min,-2022,7.8,83
135, Drive , Nicolas Winding Refn ,N/A,N/A,N/A,N/A,N/A,100 min,(I) (2011),7.8,78
136, Ghostbusters , Ivan Reitman ,N/A,N/A,N/A,N/A,N/A,105 min,-1984,7.8,71
137, Dunkirk , Christopher Nolan ,N/A,N/A,N/A,N/A,N/A,106 min,-2017,7.8,94
138, Hot Fuzz , Edgar Wright ,N/A,N/A,N/A,N/A,N/A,121 min,-2007,7.8,81
139, Rogue One: A Star Wars Story , Gareth Edwards ,N/A,N/A,N/A,N/A,N/A,133 min,-2016,7.8,65
140, Apocalypto , Mel Gibson ,N/A,N/A,N/A,N/A,N/A,139 min,-2006,7.8,68
141, Predator , John McTiernan ,N/A,N/A,N/A,N/A,N/A,107 min,-1987,7.8,47
142, Captain America: Civil War , Anthony Russo, Joe Russo ,N/A,N/A,N/A,N/A,147 min,-2016,7.8,75
143, Star Wars: Episode VII - The Force Awakens , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,138 min,-2015,7.8,80
144, Skyfall , Sam Mendes ,N/A,N/A,N/A,N/A,N/A,143 min,-2012,7.8,81
145, The Last Samurai , Edward Zwick ,N/A,N/A,N/A,N/A,N/A,154 min,-2003,7.8,55
146, Taken , Pierre Morel ,N/A,N/A,N/A,N/A,N/A,90 min,(I) (2008),7.8,51
147, Captain America: The Winter Soldier , Anthony Russo, Joe Russo ,N/A,N/A,N/A,N/A,136 min,-2014,7.8,70
148, Captain Phillips , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,134 min,-2013,7.8,82
149, The Fugitive , Andrew Davis ,N/A,N/A,N/A,N/A,N/A,130 min,-1993,7.8,87
150, Big Hero 6 , Don Hall, Chris Williams ,N/A,N/A,N/A,N/A,102 min,-2014,7.8,74
151, I Saw the Devil , Jee-woon Kim ,N/A,N/A,N/A,N/A,N/A,144 min,-2010,7.8,67
152, Thirteen Lives , Ron Howard ,N/A,N/A,N/A,N/A,N/A,147 min,-2022,7.8,66
153, Serenity , Joss Whedon ,N/A,N/A,N/A,N/A,N/A,119 min,-2005,7.8,74
154, The Fighter , David O. Russell ,N/A,N/A,N/A,N/A,N/A,116 min,(I) (2010),7.8,79
155, How to Train Your Dragon 2 , Dean DeBlois ,N/A,N/A,N/A,N/A,N/A,102 min,-2014,7.8,77
156, Ninja Scroll , Yoshiaki Kawajiri ,N/A,N/A,N/A,N/A,N/A,94 min,-1993,7.8,N/A
157, The Chaser , Na Hong-jin ,N/A,N/A,N/A,N/A,N/A,125 min,-2008,7.8,64
